cost_threshold,iterations,lambda_cost,lambda_dist,test_LPIPS,test_PSNR,test_SSIM
0.2,10000,1.00E-03,1.00E-02,0.186180979013443,28.870681762695312,0.924638569355011
0.2,10000,1.00E-03,1.00E-03,0.1833457052707672,29.51144790649414,0.9323293566703796

0.2,10000,1.00E-03,1.00E-04,0.18503762781620026,29.383241653442383,0.9321489334106445
0.2,10000,1.00E-02,1.00E-04,0.18447193503379822,29.790754318237305,0.9327388405799866
0.2,10000,1.00E-01,1.00E-04,0.1862553060054779,29.8306827545166,0.9327909350395203

0.5,10000,1.00E-03,1.00E-04,0.18545931577682495,29.57146644592285,0.9321027398109436
1,10000,1.00E-03,1.00E-04,0.18643882870674133,29.588958740234375,0.931730329990387

0.5,10000,1.00E-02,1.00E-04,0.1876111477613449,29.641231536865234,0.9320372343063354
1,10000,1.00E-02,1.00E-04,0.18694166839122772,29.6822566986084,0.9332132935523987
