ckpt,dataset_path,error,feature_lr,final_feature_lr,final_fnetwork_lr,fnetwork_lr,freeze_start,glo_dim,gpu_id,iterations,output_folder,psnr,test_LPIPS,test_PSNR,test_SSIM
output/garden_r29_ld1e-4_dt0.1at0.1_denom1e-10_alphadist2_st5.5k_noglo/,/data/nerf_datasets/360/garden,,1.00E-02,1.00E-03,1.00E-04,1.00E-03,0,0,0,4000,output/fl1.00E-02_ffl1.00E-03_fl1.00E-03_ffl1.00E-04_garden_i4000_fs0_gd0,26.74250729823513,0.15848737955093384,26.623613357543945,0.8433880805969238
output/garden_r29_ld1e-4_dt0.1at0.1_denom1e-10_alphadist2_st5.5k_noglo/,/data/nerf_datasets/360/garden,Process failed and no JSON output file found,5.00E-03,5.00E-04,1.00E-04,1.00E-03,0,0,0,4000,output/fl5.00E-03_ffl5.00E-04_fl1.00E-03_ffl1.00E-04_garden_i4000_fs0_gd0,,,,
output/garden_r29_ld1e-4_dt0.1at0.1_denom1e-10_alphadist2_st5.5k_noglo/,/data/nerf_datasets/360/garden,Process failed and no JSON output file found,1.00E-03,1.00E-04,1.00E-04,1.00E-03,0,0,0,4000,output/fl1.00E-03_ffl1.00E-04_fl1.00E-03_ffl1.00E-04_garden_i4000_fs0_gd0,,,,
output/garden_r29_ld1e-4_dt0.1at0.1_denom1e-10_alphadist2_st5.5k_noglo/,/data/nerf_datasets/360/garden,Process failed and no JSON output file found,5.00E-03,5.00E-04,1.00E-04,1.00E-03,0,0,0,4000,output/fl5.00E-03_ffl5.00E-04_fl1.00E-03_ffl1.00E-04_garden_i4000_fs0_gd0,,,,
output/garden_r29_ld1e-4_dt0.1at0.1_denom1e-10_alphadist2_st5.5k_noglo/,/data/nerf_datasets/360/garden,Process failed and no JSON output file found,1.00E-04,1.00E-05,1.00E-04,1.00E-03,0,0,0,4000,output/fl1.00E-04_ffl1.00E-05_fl1.00E-03_ffl1.00E-04_garden_i4000_fs0_gd0,,,,
output/garden_r29_ld1e-4_dt0.1at0.1_denom1e-10_alphadist2_st5.5k_noglo/,/data/nerf_datasets/360/garden,Process failed and no JSON output file found,1.00E-03,1.00E-04,1.00E-03,1.00E-02,0,0,0,4000,output/fl1.00E-03_ffl1.00E-04_fl1.00E-02_ffl1.00E-03_garden_i4000_fs0_gd0,,,,
output/garden_r29_ld1e-4_dt0.1at0.1_denom1e-10_alphadist2_st5.5k_noglo/,/data/nerf_datasets/360/garden,Process failed and no JSON output file found,1.00E-03,1.00E-04,5.00E-04,5.00E-03,0,0,0,4000,output/fl1.00E-03_ffl1.00E-04_fl5.00E-03_ffl5.00E-04_garden_i4000_fs0_gd0,,,,
output/garden_r29_ld1e-4_dt0.1at0.1_denom1e-10_alphadist2_st5.5k_noglo/,/data/nerf_datasets/360/garden,Process failed and no JSON output file found,1.00E-03,1.00E-04,1.00E-04,1.00E-03,0,0,0,4000,output/fl1.00E-03_ffl1.00E-04_fl1.00E-03_ffl1.00E-04_garden_i4000_fs0_gd0,,,,
output/garden_r29_ld1e-4_dt0.1at0.1_denom1e-10_alphadist2_st5.5k_noglo/,/data/nerf_datasets/360/garden,Process failed and no JSON output file found,1.00E-03,1.00E-04,5.00E-04,5.00E-03,0,0,0,4000,output/fl1.00E-03_ffl1.00E-04_fl5.00E-03_ffl5.00E-04_garden_i4000_fs0_gd0,,,,
output/garden_r29_ld1e-4_dt0.1at0.1_denom1e-10_alphadist2_st5.5k_noglo/,/data/nerf_datasets/360/garden,Process failed and no JSON output file found,1.00E-03,1.00E-04,1.00E-05,1.00E-04,0,0,0,4000,output/fl1.00E-03_ffl1.00E-04_fl1.00E-04_ffl1.00E-05_garden_i4000_fs0_gd0,,,,
