error,final_network_lr,gpu_id,hidden_dim,iterations,log2_hashmap_size,network_lr,output_folder,psnr,sh_hidden_dim,test_LPIPS,test_PSNR,test_SSIM
,1.00E-04,1,64,5000,22,1.00E-03,output/i5000_hd64_shd512_nl1.00E-03_fnl1.00E-04_lhs22,25.846288244151882,512,0.19803893566131592,26.150833129882812,0.8185778260231018
,1.00E-04,2,128,5000,22,1.00E-03,output/i5000_hd128_shd512_nl1.00E-03_fnl1.00E-04_lhs22,25.821386237642468,512,0.19847290217876434,26.079885482788086,0.8178723454475403
,1.00E-04,3,256,5000,22,1.00E-03,output/i5000_hd256_shd512_nl1.00E-03_fnl1.00E-04_lhs22,25.764822169721526,512,0.20026618242263794,26.042158126831055,0.8170706629753113
Process failed and no JSON output file found,1.00E-04,1,512,5000,22,1.00E-03,output/i5000_hd512_shd512_nl1.00E-03_fnl1.00E-04_lhs22,,512,,,
,1.00E-04,3,256,5000,22,1.00E-03,output/i5000_hd256_shd256_nl1.00E-03_fnl1.00E-04_lhs22,25.799000853823543,256,0.20078448951244354,26.104646682739258,0.815403163433075
,1.00E-04,2,256,5000,22,1.00E-03,output/i5000_hd256_shd1024_nl1.00E-03_fnl1.00E-04_lhs22,25.85949345594679,1024,0.1971253603696823,26.046653747558594,0.8175402283668518
,1.00E-04,1,256,5000,22,1.00E-03,output/i5000_hd256_shd128_nl1.00E-03_fnl1.00E-04_lhs22,25.83833619415713,128,0.19785088300704956,25.92066764831543,0.8177652359008789
,1.00E-04,3,256,5000,22,1.00E-03,output/i5000_hd256_shd512_nl1.00E-03_fnl1.00E-04_lhs22,25.787149788884694,512,0.19824175536632538,26.065282821655273,0.8178543448448181
,3.00E-04,2,256,5000,22,3.00E-03,output/i5000_hd256_shd512_nl3.00E-03_fnl3.00E-04_lhs22,25.662234148828027,512,0.20642872154712677,25.852602005004883,0.8119201064109802
,1.00E-04,1,256,5000,20,1.00E-03,output/i5000_hd256_shd512_nl1.00E-03_fnl1.00E-04_lhs20,25.591002166249133,512,0.21212667226791382,25.81403160095215,0.8067153096199036
,1.00E-04,3,256,5000,18,1.00E-03,output/i5000_hd256_shd512_nl1.00E-03_fnl1.00E-04_lhs18,24.963086861222582,512,0.2568677067756653,25.15949821472168,0.7728238105773926
