clone_min_contrib	base_resolution	L	hashmap_dim	budget	sh_lr	spike_duration	weight_decay	percent_alpha
0.003	64	8	8	1500000	1.00E-03	500	0.01	0.02
0.003	64	8	8	1500000	1.00E-03	250	0.01	0.02
0.003	64	8	8	1500000	1.00E-03	750	0.01	0.02
0.01	64	8	8	1500000	1.00E-03	750	0.01	0.02
0.001	64	8	8	1500000	1.00E-03	500	0.01	0.02
0.003	64	8	8	1500000	1.00E-03	500	0.05	0.02
0.003	64	8	8	1500000	1.00E-03	500	0.005	0.02
0.003	128	8	8	1500000	1.00E-03	500	0.01	0.02
0.003	96	8	8	1500000	1.00E-03	500	0.01	0.02
0.003	48	8	8	1500000	1.00E-03	500	0.01	0.02
0.003	64	8	8	1500000	1.00E-03	500	0.01	0
0.003	64	8	8	1500000	1.00E-03	500	0.01	0.01
0.003	64	8	8	1500000	1.00E-03	500	0.01	0.04
