densify_end,densify_interval,error,freeze_start,gpu_id,iterations,output_folder,psnr,spike_duration,test_LPIPS,test_PSNR,test_SSIM,threshold_start
16000,500,,18000,2,30000,output/ts2500_i30000_de16000_fs18000_di500_sd500,30.969637837910184,500,0.11615116894245148,31.964767456054688,0.9555975198745728,2500
16000,500,,18000,1,30000,output/ts4500_i30000_de16000_fs18000_di500_sd500,31.331461941288104,500,0.11641343683004379,32.02969741821289,0.9550626873970032,4500
16000,500,,18000,3,30000,output/ts6500_i30000_de16000_fs18000_di500_sd500,31.53721868844826,500,0.11955868452787399,31.9816951751709,0.9538885354995728,6500
16000,500,,18000,3,30000,output/ts10500_i30000_de16000_fs18000_di500_sd500,31.671096311179586,500,0.12305299937725067,31.784587860107422,0.9534323215484619,10500
16000,500,,18000,1,30000,output/ts14000_i30000_de16000_fs18000_di500_sd500,31.746945552214047,500,0.1235969141125679,31.893930435180664,0.9529861211776733,14000

16000,500,,18000,2,22000,output/ts4500_i22000_de16000_fs18000_di500_sd500,31.26229976512961,500,0.11980295181274414,31.91364288330078,0.9539917707443237,4500

10000,500,,12000,1,26000,output/ts4500_i26000_de10000_fs12000_di500_sd500,31.140014324794603,500,0.12046144157648087,31.671066284179688,0.9529226422309875,4500
16000,500,,18000,2,26000,output/ts4500_i26000_de16000_fs18000_di500_sd500,31.316635674358864,500,0.11792945861816406,32.04269790649414,0.9545793533325195,4500
10000,100,Process failed and no JSON output file found,12000,2,26000,output/ts4500_i26000_de10000_fs12000_di100_sd100,,100,,,,4500
16000,500,,18000,3,36000,output/ts4500_i36000_de16000_fs18000_di500_sd500,31.41098016417751,500,0.11793804168701172,32.084320068359375,0.9550200700759888,4500
10000,250,,12000,1,26000,output/ts4500_i26000_de10000_fs12000_di250_sd250,31.214363156263907,250,0.12086990475654602,31.643531799316406,0.9524889588356018,4500
6000,100,Process failed and no JSON output file found,8000,1,22000,output/ts4500_i22000_de6000_fs8000_di100_sd100,,100,,,,4500
16000,100,Process failed and no JSON output file found,18000,2,32000,output/ts4500_i32000_de16000_fs18000_di100_sd100,,100,,,,4500
6000,250,Process failed and no JSON output file found,8000,3,22000,output/ts4500_i22000_de6000_fs8000_di250_sd250,,250,,,,4500
