Scene,Resolution,Average FPS
bicycle,test,134.374
bicycle,1080p,127.683
bicycle,2k,118.84
bicycle,4k,96.5107
flowers,test,93.5201
flowers,1080p,88.971
flowers,2k,84.2108
flowers,4k,71.8429
garden,test,198.616
garden,1080p,188.752
garden,2k,174.714
garden,4k,139.376
stump,test,189.452
stump,1080p,183.414
stump,2k,168.557
stump,4k,128.549
treehill,test,193.783
treehill,1080p,184.058
treehill,2k,169.286
treehill,4k,126.372
counter,test,184.317
counter,1080p,200.12
counter,2k,172.985
counter,4k,118.661
room,test,421.981
room,1080p,401.734
room,2k,332.782
room,4k,209.837
kitchen,test,217.771
kitchen,1080p,208.775
kitchen,2k,182.607
kitchen,4k,127.971
bonsai,test,284.211
bonsai,1080p,273.649
bonsai,2k,241.663
bonsai,4k,170.794
truck,test,263.418
truck,1080p,264.832
truck,2k,220.499
truck,4k,134.992
train,test,155.269
train,1080p,157.124
train,2k,131.494
train,4k,85.5943
drjohnson,test,482.287
drjohnson,1080p,428.851
drjohnson,2k,343.988
drjohnson,4k,212.52
playroom,test,660.216
playroom,1080p,579.917
playroom,2k,463.787
playroom,4k,279.103
