item,training_time,model_size_mb,primitives
bicycle,7.312788485833334,1969,9065771
flowers,11.194964076388889,2286,10545118
garden,6.516393312222222,1752,8085136
stump,5.200968643333334,1605,7391936
treehill,5.49937672,1676,7702609
room,4.8696025969444445,1397,6449323
counter,10.072268425277779,2105,9722547
kitchen,8.352377785555555,1489,6875109
bonsai,6.962052703055555,1303,6017797
truck,5.463269138055556,1243,5729960
train,10.663046590277778,2319,10704207
drjohnson,3.217752813333333,1611,7441095
playroom,2.5691687894444444,1309,6044995
